Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
91.000	0.0000	0.0000	infinite	6.8513	7.6080	-1.0000e+07	24.960	33.274	250.75	undefined	3.6204	0.0087889	vapor
91.000	0.0010000	1.3225	0.75614	6.8503	7.6064	105.57	24.981	33.319	250.65	45.887	3.6194	0.0087923	vapor
91.000	0.0020000	2.6467	0.37783	6.8492	7.6049	99.799	25.003	33.364	250.55	46.063	3.6185	0.0087951	vapor
91.000	0.0030000	3.9726	0.25173	6.8482	7.6034	96.416	25.026	33.410	250.45	46.231	3.6175	0.0087980	vapor
91.000	0.0040000	5.3002	0.18867	6.8471	7.6018	94.012	25.048	33.457	250.35	46.391	3.6165	0.0088011	vapor
91.000	0.0050000	6.6295	0.15084	6.8461	7.6003	92.145	25.072	33.505	250.25	46.545	3.6155	0.0088043	vapor
91.000	0.0060000	7.9605	0.12562	6.8450	7.5987	90.617	25.095	33.553	250.14	46.693	3.6145	0.0088077	vapor
91.000	0.0070000	9.2933	0.10760	6.8439	7.5971	89.324	25.119	33.602	250.04	46.835	3.6134	0.0088113	vapor
91.000	0.0080000	10.628	0.094092	6.8428	7.5955	88.202	25.144	33.652	249.94	46.973	3.6124	0.0088152	vapor
91.000	0.0090000	11.964	0.083583	6.8417	7.5940	87.210	25.169	33.702	249.84	47.107	3.6114	0.0088192	vapor
91.000	0.010000	13.302	0.075175	6.8406	7.5924	86.322	25.194	33.753	249.74	47.238	3.6103	0.0088234	vapor
91.000	0.011000	14.642	0.068296	6.8395	7.5908	85.517	25.220	33.805	249.63	47.367	3.6093	0.0088278	vapor
91.000	0.012000	15.984	0.062563	6.8384	7.5892	84.782	25.246	33.857	249.53	47.494	3.6082	0.0088325	vapor
91.000	0.012164	16.204	0.061713	6.8382	7.5889	84.667	25.250	33.866	249.51	47.514	3.6080	0.0088333	vapor
91.000	0.012164	28117.	3.5566e-05	-1.1361	-1.1357	-11.208	34.744	54.045	1535.8	-0.48126	191.76	0.21083	liquid
91.000	0.013000	28117.	3.5566e-05	-1.1361	-1.1356	-11.208	34.744	54.045	1535.8	-0.48126	191.77	0.21083	liquid
91.000	0.014000	28117.	3.5566e-05	-1.1361	-1.1356	-11.208	34.744	54.045	1535.8	-0.48126	191.77	0.21083	liquid
91.000	0.015000	28117.	3.5566e-05	-1.1361	-1.1356	-11.208	34.744	54.045	1535.9	-0.48126	191.77	0.21083	liquid
91.000	0.016000	28117.	3.5566e-05	-1.1361	-1.1356	-11.208	34.744	54.045	1535.9	-0.48126	191.78	0.21083	liquid
91.000	0.017000	28117.	3.5566e-05	-1.1361	-1.1355	-11.208	34.744	54.045	1535.9	-0.48126	191.78	0.21083	liquid
91.000	0.018000	28117.	3.5566e-05	-1.1361	-1.1355	-11.208	34.744	54.045	1535.9	-0.48127	191.79	0.21083	liquid
91.000	0.019000	28117.	3.5566e-05	-1.1362	-1.1355	-11.208	34.744	54.045	1535.9	-0.48127	191.79	0.21083	liquid
91.000	0.020000	28117.	3.5566e-05	-1.1362	-1.1354	-11.208	34.744	54.044	1535.9	-0.48127	191.79	0.21083	liquid
91.000	0.021000	28117.	3.5566e-05	-1.1362	-1.1354	-11.208	34.744	54.044	1535.9	-0.48127	191.80	0.21083	liquid
91.000	0.022000	28117.	3.5566e-05	-1.1362	-1.1354	-11.209	34.744	54.044	1535.9	-0.48127	191.80	0.21083	liquid
91.000	0.023000	28117.	3.5566e-05	-1.1362	-1.1354	-11.209	34.744	54.044	1535.9	-0.48127	191.80	0.21084	liquid
91.000	0.024000	28117.	3.5566e-05	-1.1362	-1.1353	-11.209	34.744	54.044	1535.9	-0.48128	191.81	0.21084	liquid
91.000	0.025000	28117.	3.5566e-05	-1.1362	-1.1353	-11.209	34.744	54.044	1535.9	-0.48128	191.81	0.21084	liquid
91.000	0.026000	28117.	3.5566e-05	-1.1362	-1.1353	-11.209	34.744	54.044	1535.9	-0.48128	191.82	0.21084	liquid
91.000	0.027000	28117.	3.5565e-05	-1.1362	-1.1353	-11.209	34.745	54.044	1535.9	-0.48128	191.82	0.21084	liquid
91.000	0.028000	28117.	3.5565e-05	-1.1362	-1.1352	-11.209	34.745	54.044	1535.9	-0.48128	191.82	0.21084	liquid
91.000	0.029000	28117.	3.5565e-05	-1.1362	-1.1352	-11.209	34.745	54.044	1535.9	-0.48129	191.83	0.21084	liquid
91.000	0.030000	28117.	3.5565e-05	-1.1363	-1.1352	-11.209	34.745	54.044	1536.0	-0.48129	191.83	0.21084	liquid
91.000	0.031000	28117.	3.5565e-05	-1.1363	-1.1352	-11.210	34.745	54.043	1536.0	-0.48129	191.83	0.21084	liquid
91.000	0.032000	28117.	3.5565e-05	-1.1363	-1.1351	-11.210	34.745	54.043	1536.0	-0.48129	191.84	0.21084	liquid
91.000	0.033000	28117.	3.5565e-05	-1.1363	-1.1351	-11.210	34.745	54.043	1536.0	-0.48129	191.84	0.21084	liquid
91.000	0.034000	28117.	3.5565e-05	-1.1363	-1.1351	-11.210	34.745	54.043	1536.0	-0.48129	191.85	0.21085	liquid
91.000	0.035000	28117.	3.5565e-05	-1.1363	-1.1351	-11.210	34.745	54.043	1536.0	-0.48130	191.85	0.21085	liquid
91.000	0.036000	28118.	3.5565e-05	-1.1363	-1.1350	-11.210	34.745	54.043	1536.0	-0.48130	191.85	0.21085	liquid
91.000	0.037000	28118.	3.5565e-05	-1.1363	-1.1350	-11.210	34.745	54.043	1536.0	-0.48130	191.86	0.21085	liquid
91.000	0.038000	28118.	3.5565e-05	-1.1363	-1.1350	-11.210	34.745	54.043	1536.0	-0.48130	191.86	0.21085	liquid
91.000	0.039000	28118.	3.5565e-05	-1.1363	-1.1350	-11.210	34.745	54.043	1536.0	-0.48130	191.86	0.21085	liquid
91.000	0.040000	28118.	3.5565e-05	-1.1364	-1.1349	-11.210	34.745	54.043	1536.0	-0.48130	191.87	0.21085	liquid
91.000	0.041000	28118.	3.5565e-05	-1.1364	-1.1349	-11.211	34.745	54.043	1536.0	-0.48131	191.87	0.21085	liquid
91.000	0.042000	28118.	3.5565e-05	-1.1364	-1.1349	-11.211	34.745	54.042	1536.0	-0.48131	191.88	0.21085	liquid
91.000	0.043000	28118.	3.5565e-05	-1.1364	-1.1349	-11.211	34.745	54.042	1536.0	-0.48131	191.88	0.21085	liquid
91.000	0.044000	28118.	3.5565e-05	-1.1364	-1.1348	-11.211	34.745	54.042	1536.0	-0.48131	191.88	0.21085	liquid
91.000	0.045000	28118.	3.5565e-05	-1.1364	-1.1348	-11.211	34.745	54.042	1536.1	-0.48131	191.89	0.21086	liquid
91.000	0.046000	28118.	3.5564e-05	-1.1364	-1.1348	-11.211	34.745	54.042	1536.1	-0.48131	191.89	0.21086	liquid
