Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
1800.0	0.0000	0.0000	infinite	45.405	60.371	-1.0000e+07	28.992	37.306	775.77	undefined	72.019	0.11326	vapor
1800.0	0.20000	13.359	0.074855	45.404	60.375	259.05	28.992	37.308	776.05	-0.56133	72.030	0.11327	vapor
1800.0	0.40000	26.709	0.037440	45.403	60.379	253.29	28.993	37.309	776.33	-0.56143	72.042	0.11329	vapor
1800.0	0.60000	40.050	0.024969	45.402	60.383	249.92	28.993	37.310	776.61	-0.56153	72.053	0.11330	vapor
1800.0	0.80000	53.381	0.018733	45.401	60.388	247.52	28.993	37.312	776.89	-0.56162	72.064	0.11332	vapor
1800.0	1.0000	66.704	0.014992	45.400	60.392	245.67	28.993	37.313	777.17	-0.56172	72.076	0.11333	vapor
1800.0	1.2000	80.017	0.012497	45.399	60.396	244.15	28.994	37.315	777.45	-0.56182	72.087	0.11335	vapor
1800.0	1.4000	93.320	0.010716	45.398	60.400	242.87	28.994	37.316	777.73	-0.56191	72.098	0.11336	vapor
1800.0	1.6000	106.62	0.0093795	45.397	60.404	241.76	28.994	37.317	778.01	-0.56201	72.110	0.11338	vapor
1800.0	1.8000	119.90	0.0083403	45.396	60.409	240.78	28.994	37.319	778.29	-0.56211	72.121	0.11339	vapor
1800.0	2.0000	133.18	0.0075088	45.395	60.413	239.90	28.995	37.320	778.57	-0.56220	72.132	0.11341	vapor
1800.0	2.2000	146.44	0.0068286	45.394	60.417	239.11	28.995	37.321	778.85	-0.56230	72.144	0.11342	vapor
1800.0	2.4000	159.70	0.0062617	45.393	60.421	238.39	28.995	37.323	779.13	-0.56240	72.155	0.11344	vapor
1800.0	2.6000	172.95	0.0057820	45.392	60.425	237.72	28.995	37.324	779.41	-0.56249	72.166	0.11345	vapor
1800.0	2.8000	186.19	0.0053709	45.391	60.430	237.10	28.996	37.325	779.69	-0.56259	72.178	0.11347	vapor
1800.0	3.0000	199.42	0.0050145	45.390	60.434	236.53	28.996	37.327	779.97	-0.56269	72.189	0.11348	vapor
1800.0	3.2000	212.64	0.0047028	45.389	60.438	235.99	28.996	37.328	780.25	-0.56278	72.200	0.11350	vapor
